,0,1,2,3,4
66,66,21-06-21 19:12:18,0.815149637120323,21-06-21 19:14:20,122.169805
67,67,21-06-21 19:12:18,0.851309222399148,21-06-21 19:14:22,123.959797
68,68,21-06-21 19:12:18,0.8444513666659519,21-06-21 19:14:24,125.715791
69,69,21-06-21 19:12:18,0.8316708117017425,21-06-21 19:14:26,127.479783
70,70,21-06-21 19:12:18,0.8675187095219358,21-06-21 19:14:27,129.210779
71,71,21-06-21 19:12:18,0.8419576084375976,21-06-21 19:14:29,131.092772
72,72,21-06-21 19:12:18,0.8538029864616228,21-06-21 19:14:31,133.055764
73,73,21-06-21 19:12:18,0.8662718204674578,21-06-21 19:14:33,134.858756
74,74,21-06-21 19:12:18,0.8528678286031,21-06-21 19:14:35,136.72175
75,75,21-06-21 19:12:18,0.8438279332774239,21-06-21 19:14:37,138.536744
76,76,21-06-21 19:12:18,0.8566084750684122,21-06-21 19:14:38,140.296736
77,77,21-06-21 19:12:18,0.8500623369306103,21-06-21 19:14:40,142.10724
78,78,21-06-21 19:12:18,0.8235660896374103,21-06-21 19:14:42,143.940231
79,79,21-06-21 19:12:18,0.8466334073732321,21-06-21 19:14:44,145.792226
80,80,21-06-21 19:12:18,0.8363466251297782,21-06-21 19:14:46,147.586219
81,81,21-06-21 19:12:18,0.8497506139841757,21-06-21 19:14:47,149.343212
82,82,21-06-21 19:12:18,0.8500623437308908,21-06-21 19:14:49,151.179205
83,83,21-06-21 19:12:18,0.8319825372865373,21-06-21 19:14:51,152.914199
84,84,21-06-21 19:12:18,0.8485037313955384,21-06-21 19:14:53,154.707193
85,85,21-06-21 19:12:18,0.8428927631003601,21-06-21 19:14:54,156.424186
86,86,21-06-21 19:12:18,0.8634663351307486,21-06-21 19:14:56,158.176182
87,87,21-06-21 19:12:18,0.8338528593022032,21-06-21 19:14:58,160.118173
88,88,21-06-21 19:12:18,0.8266832936843137,21-06-21 19:15:00,161.859165
89,89,21-06-21 19:12:18,0.848503739868019,21-06-21 19:15:02,163.52316
90,90,21-06-21 19:12:18,0.8597256869189163,21-06-21 19:15:03,165.193152
91,91,21-06-21 19:12:18,0.8485037414658991,21-06-21 19:15:05,166.878146
92,92,21-06-21 19:12:18,0.8453865260851948,21-06-21 19:15:07,168.543141
93,93,21-06-21 19:12:18,0.8475685805788361,21-06-21 19:15:08,170.312135
94,94,21-06-21 19:12:18,0.84569825705819,21-06-21 19:15:10,172.15813
95,95,21-06-21 19:12:18,0.8594139662206619,21-06-21 19:15:12,174.15412
96,96,21-06-21 19:12:18,0.8472568555142814,21-06-21 19:15:15,176.478114
97,97,21-06-21 19:12:18,0.8185785468528396,21-06-21 19:15:17,178.684104
98,98,21-06-21 19:12:18,0.8591022471202876,21-06-21 19:15:19,180.495097
99,99,21-06-21 19:12:18,0.8307356523753996,21-06-21 19:15:21,182.56709
