epoch,agent,accuracy
0.0,0.0,0.07865168899297714
0.0,1.0,0.014084506779909134
0.0,2.0,0.08433734625577927
0.0,3.0,0.1149425283074379
0.0,4.0,0.09090909361839294
0.0,5.0,0.125
0.0,6.0,0.06329113990068436
0.0,7.0,0.012345679104328156
0.0,8.0,0.07777778059244156
0.0,9.0,0.06896551698446274
100.0,0.0,0.7752808928489685
100.0,1.0,0.6338028311729431
100.0,2.0,0.5903614163398743
100.0,3.0,0.5977011322975159
100.0,4.0,0.5584415793418884
100.0,5.0,0.6363636255264282
100.0,6.0,0.5063291192054749
100.0,7.0,0.5061728358268738
100.0,8.0,0.5555555820465088
100.0,9.0,0.5977011322975159
200.0,0.0,0.8651685118675232
200.0,1.0,0.7887324094772339
200.0,2.0,0.7469879388809204
200.0,3.0,0.6896551847457886
200.0,4.0,0.7922077775001526
200.0,5.0,0.7613636255264282
200.0,6.0,0.7721518874168396
200.0,7.0,0.8148148059844971
200.0,8.0,0.855555534362793
200.0,9.0,0.8045976758003235
300.0,0.0,0.9213483333587646
300.0,1.0,0.8028169274330139
300.0,2.0,0.8554216623306274
300.0,3.0,0.7471264600753784
300.0,4.0,0.8181818127632141
300.0,5.0,0.8522727489471436
300.0,6.0,0.797468364238739
300.0,7.0,0.8518518805503845
300.0,8.0,0.8999999761581421
300.0,9.0,0.8275862336158752
400.0,0.0,0.9101123809814453
400.0,1.0,0.8873239159584045
400.0,2.0,0.891566276550293
400.0,3.0,0.8045976758003235
400.0,4.0,0.8571428656578064
400.0,5.0,0.8863636255264282
400.0,6.0,0.8354430198669434
400.0,7.0,0.8641975522041321
400.0,8.0,0.9222221970558167
400.0,9.0,0.8965517282485962
500.0,0.0,0.898876428604126
500.0,1.0,0.9154929518699646
500.0,2.0,0.9156626462936401
500.0,3.0,0.8160919547080994
500.0,4.0,0.8571428656578064
500.0,5.0,0.8977272510528564
500.0,6.0,0.8607594966888428
500.0,7.0,0.9012345671653748
500.0,8.0,0.9333333373069763
500.0,9.0,0.9080459475517273
600.0,0.0,0.8876404762268066
600.0,1.0,0.9154929518699646
600.0,2.0,0.9036144614219666
600.0,3.0,0.8275862336158752
600.0,4.0,0.8831169009208679
600.0,5.0,0.9090909361839294
600.0,6.0,0.8734177350997925
600.0,7.0,0.9382715821266174
600.0,8.0,0.9333333373069763
600.0,9.0,0.9080459475517273
700.0,0.0,0.898876428604126
700.0,1.0,0.9154929518699646
700.0,2.0,0.9036144614219666
700.0,3.0,0.8275862336158752
700.0,4.0,0.8831169009208679
700.0,5.0,0.8977272510528564
700.0,6.0,0.8734177350997925
700.0,7.0,0.9382715821266174
700.0,8.0,0.9333333373069763
700.0,9.0,0.9080459475517273
800.0,0.0,0.898876428604126
800.0,1.0,0.9154929518699646
800.0,2.0,0.9036144614219666
800.0,3.0,0.8275862336158752
800.0,4.0,0.8831169009208679
800.0,5.0,0.9204545617103577
800.0,6.0,0.8860759735107422
800.0,7.0,0.9382715821266174
800.0,8.0,0.9222221970558167
800.0,9.0,0.9080459475517273
900.0,0.0,0.898876428604126
900.0,1.0,0.9154929518699646
900.0,2.0,0.9036144614219666
900.0,3.0,0.8505747318267822
900.0,4.0,0.8701298832893372
900.0,5.0,0.9204545617103577
900.0,6.0,0.8860759735107422
900.0,7.0,0.9382715821266174
900.0,8.0,0.9333333373069763
900.0,9.0,0.9080459475517273
999.0,0.0,0.9213483333587646
999.0,1.0,0.9154929518699646
999.0,2.0,0.9156626462936401
999.0,3.0,0.8620689511299133
999.0,4.0,0.8961039185523987
999.0,5.0,0.9545454382896423
999.0,6.0,0.8860759735107422
999.0,7.0,0.9382715821266174
999.0,8.0,0.9222221970558167
999.0,9.0,0.9195402264595032
